question,course,document
Is there a way to find out my random assigned name if I've forgotten it?,data-engineering-zoomcamp,016d46a1
"My display name isn't showing up in the Edit Course Profile section, what should I do?",data-engineering-zoomcamp,016d46a1
How often is the leaderboard updated?,data-engineering-zoomcamp,016d46a1
"If Python 3.9 is recommended for simplicity, what are the main compatibility issues I might encounter using Python 3.11?",data-engineering-zoomcamp,47972cb1
Are there any specific libraries or packages that might have problems with Python 3.9 that work better on 3.10 or 3.11?,data-engineering-zoomcamp,47972cb1
"The FAQ says 3.10 and 3.11 should work, but are there any features from those versions that aren't covered in the course materials?",data-engineering-zoomcamp,47972cb1
Will you provide support if I encounter errors due to using Python 3.10 or 3.11 instead of 3.9?,data-engineering-zoomcamp,47972cb1
"What are the advantages of using Python 3.11 over 3.9, beyond just newer features, considering the FAQ's emphasis on simplicity and stability?",data-engineering-zoomcamp,47972cb1
What specific challenges might Windows users encounter when setting up the course environment locally?,data-engineering-zoomcamp,ddf6c1b3
"If I choose to use Docker, are there any specific Docker versions or configurations recommended?",data-engineering-zoomcamp,ddf6c1b3
Are there any pre-configured images available for setting up the environment in a VM or Codespace?,data-engineering-zoomcamp,ddf6c1b3
What are the advantages and disadvantages of using GitHub Codespaces compared to a cloud VM like GCP?,data-engineering-zoomcamp,ddf6c1b3
"The FAQ mentions setting up on a cloud VM, but which cloud platforms are officially supported besides GCP?",data-engineering-zoomcamp,ddf6c1b3
Can I use other IDEs besides GitHub Codespaces with this course?,data-engineering-zoomcamp,ac25d3af
Are there any specific Docker versions or configurations recommended for the course?,data-engineering-zoomcamp,ac25d3af
"If I encounter Docker or Python related issues within Codespaces, where can I find support?",data-engineering-zoomcamp,ac25d3af
Does using GitHub Codespaces affect the grading or submission process?,data-engineering-zoomcamp,ac25d3af
"What are the limitations of using GitHub Codespaces, if any, compared to using a local machine?",data-engineering-zoomcamp,ac25d3af
"If we don't use GitHub Codespaces, will there be any differences in grading or assessment?",data-engineering-zoomcamp,251218fc
Are there any specific configurations or setups recommended if I choose to use my own laptop environment?,data-engineering-zoomcamp,251218fc
Will the course materials and instructions accommodate different development environments besides GitHub Codespaces and GCP VMs?,data-engineering-zoomcamp,251218fc
What are the potential drawbacks or challenges of using a personal laptop instead of a cloud-based environment like GitHub Codespaces?,data-engineering-zoomcamp,251218fc
"If I encounter problems setting up my own environment, where can I find support or assistance?",data-engineering-zoomcamp,251218fc
"If I choose a local environment, will I still be able to use BigQuery?",data-engineering-zoomcamp,3c0114ce
What are the advantages and disadvantages of using GitHub Codespaces versus a local environment?,data-engineering-zoomcamp,3c0114ce
Are there any specific tutorials or guides on setting up a local environment for this course?,data-engineering-zoomcamp,3c0114ce
"Since BigQuery is part of GCP, are there any mandatory GCP components I need to learn beyond BigQuery?",data-engineering-zoomcamp,3c0114ce
"If I'm proficient in a cloud environment other than GCP, can I still use that instead?",data-engineering-zoomcamp,3c0114ce
What if the 'Run' command isn't available in my version of Windows?,data-engineering-zoomcamp,f43f5fe7
"After changing the registry value, do I need to restart my computer or VSCode?",data-engineering-zoomcamp,f43f5fe7
Where exactly can I find the 'Autorun' value within the provided registry path?  I'm having trouble locating it.,data-engineering-zoomcamp,f43f5fe7
My known_hosts file doesn't seem to exist in that location. Could it be located elsewhere on my system?,data-engineering-zoomcamp,f43f5fe7
"Is deleting the fingerprint from known_hosts a permanent solution, or will I have to do it every time I connect to the GCP VM?",data-engineering-zoomcamp,f43f5fe7
"If I choose to use AWS instead of GCP, will I still have access to all course materials and support?",data-engineering-zoomcamp,d061525d
What are the specific limitations of using a free GCP trial account for this course?,data-engineering-zoomcamp,d061525d
"Besides BigQuery, are there other GCP services essential for completing the course assignments?",data-engineering-zoomcamp,d061525d
"Do we need to pay for any services beyond the $300 GCP credit, even if we stick with GCP?",data-engineering-zoomcamp,d061525d
Will using a different cloud provider (like AWS) impact my final grade or project evaluation?,data-engineering-zoomcamp,d061525d
How long does the GCP free trial last?,data-engineering-zoomcamp,1cd01b2c
Are there any limitations to what I can do with the free trial?,data-engineering-zoomcamp,1cd01b2c
What happens after the GCP free trial ends?,data-engineering-zoomcamp,1cd01b2c
"If I use a different cloud provider, will I have to pay?",data-engineering-zoomcamp,1cd01b2c
Are there any other free resources or alternatives to cloud services that you recommend?,data-engineering-zoomcamp,1cd01b2c
"If I choose to do the course locally, which specific tools will I need to install?",data-engineering-zoomcamp,e4a7c3b0
Are there any performance differences I should expect between running things locally and on GCP?,data-engineering-zoomcamp,e4a7c3b0
Will the course materials still be relevant if I'm not using BigQuery?,data-engineering-zoomcamp,e4a7c3b0
What parts of the course will be difficult or impossible to complete without GCP or other cloud services?,data-engineering-zoomcamp,e4a7c3b0
Are there any recommended configurations for a home lab suitable for this course?,data-engineering-zoomcamp,e4a7c3b0
Can you provide any recommended AWS services for building the data pipeline and visualization components of the capstone project?,data-engineering-zoomcamp,7cd1912e
Are there any specific AWS configurations or best practices you recommend for this course?,data-engineering-zoomcamp,7cd1912e
"What are some common pitfalls students encounter when using AWS for this course, and how can I avoid them?",data-engineering-zoomcamp,7cd1912e
"Given the potential difficulty in finding AWS-experienced peers for help, are there alternative support resources available?",data-engineering-zoomcamp,7cd1912e
"Besides the capstone project, will any of the coursework directly utilize or benefit from familiarity with AWS services?",data-engineering-zoomcamp,7cd1912e
Will the Capstone calls be recorded for those who can't attend live?,data-engineering-zoomcamp,52393fb3
"How will you announce the Capstone Zoom calls – email, forum post, or both?",data-engineering-zoomcamp,52393fb3
Is there a way to submit questions in advance for the Capstone Zoom calls?,data-engineering-zoomcamp,52393fb3
"If we have questions outside of office hours and the Capstone calls, how should we contact you?",data-engineering-zoomcamp,52393fb3
Are there any planned Q&A sessions before the Capstone project begins?,data-engineering-zoomcamp,52393fb3
Is the link to the NYC Trip data the same as last year's?,data-engineering-zoomcamp,10515af5
What specific aspects of the project remain the same as last year’s?,data-engineering-zoomcamp,10515af5
Are there any updates or changes to the data since last year?,data-engineering-zoomcamp,10515af5
"If the project is the same, why are we using the 2021 data and not the 2022 data?",data-engineering-zoomcamp,10515af5
Where can we find any documentation or tutorials related to working with this dataset?,data-engineering-zoomcamp,10515af5
Where exactly did you move the 2022 material to?  Can you provide a more specific link?,data-engineering-zoomcamp,cdb86a97
"Will the 2022 repo be available for access throughout the course, or only for a certain period?",data-engineering-zoomcamp,cdb86a97
Are there any significant differences between the 2022 material and the current year's content?,data-engineering-zoomcamp,cdb86a97
"If the 2022 repo isn't deleted, why was it moved? Was it to consolidate resources?",data-engineering-zoomcamp,cdb86a97
"Is there a complete, updated index or table of contents for where all the materials, including the moved 2022 content, are located?",data-engineering-zoomcamp,cdb86a97
Can we use a programming language other than Python for the final project?,data-engineering-zoomcamp,3e0114ad
Are there any specific libraries or packages we're required to use in our project?,data-engineering-zoomcamp,3e0114ad
Is there a minimum level of functionality the final project needs to achieve?,data-engineering-zoomcamp,3e0114ad
"Will we be graded on the specific tool we use, or is it mainly about the project's outcome?",data-engineering-zoomcamp,3e0114ad
"If we choose a less common tool, will you provide additional support or resources?",data-engineering-zoomcamp,3e0114ad
"Can we use a different cloud provider altogether, like Azure, instead of GCP or a local installation?",data-engineering-zoomcamp,b2799574
"If I choose to use Airflow, will I still receive full credit for the assignments?",data-engineering-zoomcamp,b2799574
What specific aspects of the capstone project's peer review will focus on the tool choices made?,data-engineering-zoomcamp,b2799574
Are there any recommended alternatives to Mage that are easier to integrate with the course material?,data-engineering-zoomcamp,b2799574
"Since you mention support limitations for alternative stacks, what kind of support will we get if we stick to the suggested tools?",data-engineering-zoomcamp,b2799574
Does starring the repo actually help the course instructors/developers?,data-engineering-zoomcamp,2f19301f
What kind of improvements are you looking for in PRs?  Are there specific areas you'd prioritize?,data-engineering-zoomcamp,2f19301f
"If I share the course with friends, do I need to let you know? Is there a way to track this?",data-engineering-zoomcamp,2f19301f
Is there a way to contribute beyond starring and creating PRs?,data-engineering-zoomcamp,2f19301f
What's the best way to get in touch if I have a question about contributing that isn't answered here?,data-engineering-zoomcamp,2f19301f
Does 'technically it shouldn't matter' mean there might be minor OS-specific quirks I should be aware of?,data-engineering-zoomcamp,7c700adb
Are there any specific Linux distributions you recommend for the course?,data-engineering-zoomcamp,7c700adb
"If I'm using a Windows machine, are there any potential compatibility issues I should anticipate?",data-engineering-zoomcamp,7c700adb
"What software or tools are specifically required for the course, and are they compatible across all three operating systems?",data-engineering-zoomcamp,7c700adb
Last year's success with all three OSes: are there any documented examples or resources detailing how students overcame any OS-specific challenges?,data-engineering-zoomcamp,7c700adb
"What are the minimum system requirements for this course, especially regarding operating systems?",data-engineering-zoomcamp,44b14808
"Are there alternative solutions for running the *.sh files on Windows besides WSL, such as specific software or workarounds?",data-engineering-zoomcamp,44b14808
"If WSL is recommended, could you provide a step-by-step guide or link to a tutorial on how to set it up for this course?",data-engineering-zoomcamp,44b14808
"Will the later modules (module-05 and RisingWave workshop) be significantly impacted if I cannot run the *.sh files, making it impossible to complete the course?",data-engineering-zoomcamp,44b14808
"Since past cohorts seemingly overcame this issue, is there any documentation or past student experience I could consult to find potential solutions for using Windows without WSL?",data-engineering-zoomcamp,44b14808
"Is the provided Github document the only recommended resource, or are there others you might suggest?",data-engineering-zoomcamp,76e4baf6
Are there specific sections within the 'awesome-data-engineering.md' document that are most relevant to this course?,data-engineering-zoomcamp,76e4baf6
"How often is the 'awesome-data-engineering.md' document updated, and will we be notified of significant changes?",data-engineering-zoomcamp,76e4baf6
Are there any specific books listed in the document that you would consider essential reading for the course?,data-engineering-zoomcamp,76e4baf6
"If I'm unfamiliar with some of the tools mentioned in the document, are there any introductory materials or tutorials you can recommend?",data-engineering-zoomcamp,76e4baf6
Is there a difference in grading criteria between Project Attempt #1 and Project Attempt #2?,data-engineering-zoomcamp,48b533a8
"If I submit Project Attempt #1 early and it gets a failing grade, can I still use Attempt #2?",data-engineering-zoomcamp,48b533a8
Are there any penalties for using Project Attempt #2?,data-engineering-zoomcamp,48b533a8
What is the deadline for Project Attempt #2 if I fail the first attempt?,data-engineering-zoomcamp,48b533a8
"If I submit Project Attempt #1 on time and get a passing grade, do I still need to do Attempt #2?",data-engineering-zoomcamp,48b533a8
"I'm getting a 'column c.relhasoids does not exist' error in pgcli. I've tried restarting my computer and checked the pgcli documentation, but I'm still stuck.  What should I do next?",data-engineering-zoomcamp,954044d1
"I followed video 3, step 7, and now my application is crashing. The error message is very long, and I don't know what part is relevant. How can I effectively communicate this error to get help?",data-engineering-zoomcamp,954044d1
"I've uninstalled and reinstalled the application three times, and the issue persists.  The error message doesn't provide much information.  What other troubleshooting steps can I try?",data-engineering-zoomcamp,954044d1
"Where is the best place to find answers to common questions – is it better to use the Slack search, the FAQ, or the ZoomcampQABot?",data-engineering-zoomcamp,954044d1
"My code has a syntax error on line 42, but I can't figure out what's wrong. I've looked at the error message and tried to debug it, but no luck. Should I post this on Stack Overflow, and if so, how should I format my question?",data-engineering-zoomcamp,954044d1
"I'm getting a 'NameError' in my Python code on Windows, but I can't figure out why.  I ran the code from a Jupyter Notebook and followed along with Video 3, but the error message doesn't give a line number. What should I do?",data-engineering-zoomcamp,a820b9b3
"My C++ program compiles fine, but crashes when I run it on macOS. The error message says 'Segmentation fault: 11'.  I've tried restarting my computer, but nothing helped.  How do I provide enough info for you to help?",data-engineering-zoomcamp,a820b9b3
I'm working on the Java assignment from the last week. I'm using IntelliJ on Linux and I keep getting a compiler error about an 'unresolved symbol'.  I've checked for typos and the error message doesn't give a line number. Where can I get more information on how to debug this?,data-engineering-zoomcamp,a820b9b3
"I followed the instructions in Video 5 to set up my environment, but I'm still getting an error when I try to run the example code.  I'm using a Mac, and I've attached the error log as a screenshot. What information do you still need from me?",data-engineering-zoomcamp,a820b9b3
"The troubleshooting guide mentioned in the FAQ didn't help with my problem.  I'm getting a 'TypeError' in my JavaScript code on my Linux machine.  I was following along with the code in the tutorial on the course website, specifically the section on arrays. I've tried restarting the browser, but nothing fixed it. What additional details should I include in my question?",data-engineering-zoomcamp,a820b9b3
What if I don't have a GitHub account yet?  Do I need to make one immediately?,data-engineering-zoomcamp,f2945cd2
The video on cloning repositories seems a bit complicated. Are there any written instructions I can follow instead?,data-engineering-zoomcamp,f2945cd2
I'm not sure I understand pull requests. Could you give a simpler explanation of why and when I would use them for this course?,data-engineering-zoomcamp,f2945cd2
The .gitignore file seems important. Are there any examples of what I should include in mine for this class?,data-engineering-zoomcamp,f2945cd2
The FAQ mentions avoiding passwords and keys in Git. What are the risks if I don't follow this advice?,data-engineering-zoomcamp,f2945cd2
What does 'Makefile:2: *** missing separator. Stop.' actually mean in the context of VS Code and tabs?,data-engineering-zoomcamp,eb9d376f
How do I convert tabs to spaces or spaces to tabs in VS Code?  The FAQ answer isn't clear on the process.,data-engineering-zoomcamp,eb9d376f
Is there a specific VS Code extension or setting I should use to ensure consistent tab/space usage?,data-engineering-zoomcamp,eb9d376f
The FAQ says to 'Follow this stack'.  What stack is being referred to?  Is there a link or more detailed instructions?,data-engineering-zoomcamp,eb9d376f
"If I'm not using Makefiles, could this 'missing separator' error still apply to my code in VS Code and how I handle tabs and spaces?",data-engineering-zoomcamp,eb9d376f
"What if I don't have WSL2 installed, only WSL1?",data-engineering-zoomcamp,72f25f6d
"Can I use this method to open other types of files besides HTML, like PDFs or images?",data-engineering-zoomcamp,72f25f6d
"If I set the BROWSER environment variable, will that affect other applications running on WSL?",data-engineering-zoomcamp,72f25f6d
Is there a way to do this without having to install `wslu`?,data-engineering-zoomcamp,72f25f6d
My Windows browser path contains spaces; how should I handle that in the `export BROWSER` command?,data-engineering-zoomcamp,72f25f6d
"Can you clarify the unzip command for the Taxi Data?  The FAQ says 'unzip' won't work, but doesn't explain the alternative fully.",data-engineering-zoomcamp,a1e59afc
"Is there a video tutorial for setting up Chrome Remote Desktop on Compute Engine, or are there any other resources besides the one mentioned?",data-engineering-zoomcamp,a1e59afc
"If the TLC website link is broken, will you update the FAQ with a working link in the future?",data-engineering-zoomcamp,a1e59afc
What other operating systems are supported by Chrome Remote Desktop besides Debian Linux in the context of this module?,data-engineering-zoomcamp,a1e59afc
"For the Taxi Data, are there instructions for handling the data after unzipping it?  Like how to import into a program like Python",data-engineering-zoomcamp,a1e59afc
Can we use a different method besides `url.split('/')[-1]` to extract the filename from the URL?,data-engineering-zoomcamp,71c10610
The FAQ mentions pandas can read `.csv.gz` directly.  Are there any performance implications compared to unzipping first?,data-engineering-zoomcamp,71c10610
"If the URL structure changes, will the `url.split('/')[-1]` method still work reliably?",data-engineering-zoomcamp,71c10610
What happens if the downloaded file is corrupted or not a valid `.csv.gz` file? How does the code handle errors?,data-engineering-zoomcamp,71c10610
"Are there any examples of how to implement error handling (e.g., try-except blocks) when reading the `.csv.gz` file?",data-engineering-zoomcamp,71c10610
Are there data dictionaries available for other NYC taxi datasets besides Yellow and Green trips?,data-engineering-zoomcamp,17a5aea1
"Where can I find information about the data formats (e.g., CSV, JSON) for the taxi trip records?",data-engineering-zoomcamp,17a5aea1
What is the meaning of all the different columns in the provided data dictionaries?,data-engineering-zoomcamp,17a5aea1
How often is the data dictionary updated; should I expect changes to column names and descriptions?,data-engineering-zoomcamp,17a5aea1
"Is there a single, consolidated data dictionary that covers both yellow and green taxi trip data?",data-engineering-zoomcamp,17a5aea1
"If the file isn't named 'green_tripdata_2019-09.csv.gz', how do I adapt the unzip command?",data-engineering-zoomcamp,5a275db7
"In the ingest_data.py solution,  why does it download the parquet file and then immediately convert it to a CSV? Why not just use the parquet file directly?",data-engineering-zoomcamp,5a275db7
"The FAQ says to use 'pd.read_csv()'.  Is this the only way to import the CSV after unzipping, or are there other pandas functions that could be used?",data-engineering-zoomcamp,5a275db7
The provided solution uses 'wget'. Are there alternative commands I could use to download the parquet file?,data-engineering-zoomcamp,5a275db7
What if I encounter an error during the unzip process? How can I troubleshoot it?,data-engineering-zoomcamp,5a275db7
"If I already have Git Bash installed on Windows, should I still add wget to my Git\mingw64\bin\ directory, or is there a better location?",data-engineering-zoomcamp,7ec0f9b0
"The FAQ mentions using 'brew install wget' on MacOS.  If I don't have Homebrew installed, will the instructions for installing wget via Chocolatey on Windows also work on MacOS?",data-engineering-zoomcamp,7ec0f9b0
"The FAQ suggests several ways to install wget on Windows.  Is there a recommended method for a beginner, and why is that method preferred?",data-engineering-zoomcamp,7ec0f9b0
"After installing wget using Chocolatey, I still get the 'lwget is not recognized' error. What other steps can I take to troubleshoot this?",data-engineering-zoomcamp,7ec0f9b0
The FAQ mentions using the 'requests' library in Python as an alternative to wget for downloading .gz files.  Could you provide a simple example of how to use 'requests' to download and save a .gz file?,data-engineering-zoomcamp,7ec0f9b0
Will adding the '!' before wget work in other IDEs besides Jupyter Notebook and CLI?,data-engineering-zoomcamp,bb1ba786
"If the Python wget method still fails, are there any other alternatives to download the file securely?",data-engineering-zoomcamp,bb1ba786
"What are the security implications of using the `--no-check-certificate` flag, and are there safer alternatives?",data-engineering-zoomcamp,bb1ba786
Is there a way to permanently fix the certificate verification issue on my MacOS system instead of adding the flag each time?,data-engineering-zoomcamp,bb1ba786
My download still fails even after trying both methods. What other troubleshooting steps should I take?  Could it be a problem with my network connection?,data-engineering-zoomcamp,bb1ba786
Will this command affect other terminals besides Git Bash?,data-engineering-zoomcamp,2f83dbe7
What happens if I already have an escape character set in my .bashrc file?,data-engineering-zoomcamp,2f83dbe7
Is there any performance impact from changing the escape character?,data-engineering-zoomcamp,2f83dbe7
"If I don't change the escape character, will I still be able to complete the module exercises?",data-engineering-zoomcamp,2f83dbe7
Are there any downsides to setting the backslash as the escape character?,data-engineering-zoomcamp,2f83dbe7
Is there a way to use environment variables instead of storing secrets directly in Codespaces?,data-engineering-zoomcamp,543ff080
What happens if I accidentally expose a secret in my Codespaces configuration?,data-engineering-zoomcamp,543ff080
Are there any limitations on the types of secrets I can store in GitHub Codespaces?,data-engineering-zoomcamp,543ff080
How do I revoke access to a secret if it's compromised?,data-engineering-zoomcamp,543ff080
The GitHub Docs link is broken; is there an alternative guide or tutorial on securing secrets within Codespaces?,data-engineering-zoomcamp,543ff080
What should I do if the `wsl --update` command doesn't resolve the Docker daemon connection issue?,data-engineering-zoomcamp,d407d65b
"My Docker daemon is running, but I still get the connection error; what other troubleshooting steps can I take?",data-engineering-zoomcamp,d407d65b
"The FAQ mentions checking the issue 'immediately down below', but there's nothing below the answer. Where can I find more information?",data-engineering-zoomcamp,d407d65b
Are there alternative ways to connect to the Docker daemon besides unix:///var/run/docker.sock?,data-engineering-zoomcamp,d407d65b
"If I'm using a different operating system besides Windows, how do I resolve the Docker daemon connection problem?",data-engineering-zoomcamp,d407d65b
"If I'm using Windows 10 Home, and I've followed the WSL2 instructions but still get the 'The system cannot find the file specified' error, what other troubleshooting steps should I take?",data-engineering-zoomcamp,c9375c56
The FAQ mentions enabling Hyper-V for Windows 10 Pro/11 Pro users.  Are there any performance implications to consider when using Hyper-V compared to WSL2?,data-engineering-zoomcamp,c9375c56
The link for installing WSL2 is for Windows 11. Is the process significantly different for Windows 10?,data-engineering-zoomcamp,c9375c56
What are the minimum system requirements for running Docker with WSL2 on Windows 10 Home?,data-engineering-zoomcamp,c9375c56
